respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Выберите язык,Возраст (количество полных лет),Пол,На каком предприятии Вы работаете?,,"Укажите компанию, в которой Вы работаете:",,К какой категории сотрудников Вы относитесь?,"Я испытываю напряжение, мне не по себе","Мне страшно. Кажется, будто что-то ужасное может вот-вот случиться",Беспокойные мысли крутятся у меня в голове,Я легко могу сесть и расслабиться,Я испытываю внутреннее напряжение или дрожь,"Я испытываю неусидчивость, словно мне постоянно нужно двигаться",У меня бывает внезапное чувство паники,"То, что приносило мне большое удовольствие, и сейчас вызывает у меня такое же чувство",Я способен рассмеяться и увидеть в том или ином событии смешное,Я чувствую себя бодрым,"Мне кажется, что я стал все делать очень медленно",Я не слежу за своей внешностью,"Я считаю, что мои дела (занятия, увлечения) могут принести мне чувство удовлетворения","Я могу получить удовольствие от хорошей книги, фильма, радио- или телепрограммы",Нуждаетесь ли Вы в психологической помощи?,"По вашему мнению, нуждаются ли ваши близкие в психологической помощи?","Знакомы ли вы с программой ERG Balance, программой психологической поддержки работников Группы?     ",Что бы вы хотели видеть в программе психологической поддержки работников Группы?,Жасы (толық жас саны),Сіздің жынысыңыз,На каком предприятии Вы работаете?,,Қандай компанияда жұмыс істейтініңізді көрсетіңіз,,Сіз қызметкерлердің қай санатына жатасыз?,"Мен қобалжушылықты сезінем, өзімді жайсыз сезінемін",Маған қорқынышты. Қорқынышты нәрсе болуы мүмкін сияқты,Басыма мазасыз ойлар келеді,"Мен отырып, бойымды еркін ұстай аламын",Мен ішкі қобалжуды немесе қорқынышты сезінемін,"Мен орнықсыздықты сезінемін, үнемі қозғалыста болуым керек сияқты",Менде кенеттен үрей пайда болады,"Бұрын маған үлкен рахат сыйлаған нәрсе, қазір де сондай сезімді сыйлайды",Мен күле аламын және сол немесе басқа оқиғада күлкілі нәрсені көре аламын,Мен өзімді сергек сезінемін,"Менің ойымша, мен бәрін өте баяу істей бастадым",Мен сыртқы келбетімді қадағаламаймын,"Менің істерім (іс-әрекеттерім, әуесқойлығым) маған қанағат сезімін сыйлайды деп санаймын","Мен жақсы кітап, фильм, радио немесе теледидар бағдарламасынан ләззат ала аламын",Сізге психологиялық көмек қажет пе?,Сіздің ойыңызша жақындарыңыз психологиялық көмекке мұқтаж ба?,Сіз ERG қызметкерлеріне психологиялық қолдау көрсету ERG Balance бағдарламасымен таныссыз ба?,ERG қызметкерлеріне психологиялық қолдау көрсету бағдарламасында не көргіңіз келеді?
,,,,,,,,,Response,Open-Ended Response,Response,Response,Другое (укажите),Response,Другое (укажите),Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Другое (укажите),Response,Басқа,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response
118694252180,457631337,09/18/2024 11:58:09 AM,09/18/2024 11:58:37 AM,178.170.236.79,,,,,Русский,47,Мужчина,ЕЭК (Электрическая станция),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694249890,457631337,09/18/2024 11:52:56 AM,09/18/2024 11:56:30 AM,95.82.113.25,,,,,Русский,26,Мужчина,Алюминий Казахстана (КБРУ),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",иногда,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",практически все время,иногда,определенно это так,"точно так, как и обычно",часто,Нет,Нет,Нет,Все и так хорошо ,,,,,,,,,,,,,,,,,,,,,,,,,
118694248429,457631337,09/18/2024 11:49:19 AM,09/18/2024 11:49:31 AM,46.42.239.200,,,,,Русский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694245699,457631337,09/18/2024 11:43:00 AM,09/18/2024 11:46:39 AM,37.208.46.154,,,,,Русский,24,Мужчина,Другое (укажите),TOO ERG EXPLORATION ,,,Специалист,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,"определенно, это так",совсем не бывает,"определенно, это так",лишь в очень малой степени это так,практически все время,иногда,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",иногда,Нет,Нет,Да,Не знаю ,,,,,,,,,,,,,,,,,,,,,,,,,
118694244133,457631337,09/18/2024 11:39:37 AM,09/18/2024 11:46:36 AM,212.154.197.132,,,,,Русский,33,Женщина,Казхром (Аксуский завод ферросплавов),,,,Специалист,"время от времени, иногда",совсем не испытываю,только иногда,"наверное, это так",иногда,"определенно, это так",совсем не бывает,это совсем не так,"определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,"1. Часто бывает так, что человек сам не может в полной мере осознать, что ему нужна психологическая поддержка (в семье, на работе проблемы, но человек замкнутый, доверяет, например, только одному человеку на работе). Так вот, возможность подачи заявки на псих. помощь, обращенную к другому человеку. 2. Психологические тесты , для понимания необходимости психологической поддержки. ",,,,,,,,,,,,,,,,,,,,,,,,,
118694244731,457631337,09/18/2024 11:40:50 AM,09/18/2024 11:42:24 AM,89.35.252.71,,,,,Казахский,,,,,,,,,,,,,,,,,,,,,,,,,,57,Еркек,Казхром (Актюбинский завод ферросплавов),,,,Жұмысшы,мүлдем сезбеймін,мүлдем сезінбеймін,кейде  ғана,мүлдем істей алмаймын,өте жиі,мүлдем сезінбеймін,мүлдем болмайды,бұл мүлдем олай емес,мүлдем қабілетім жоқ,үнемі,мүлдем олай емес,мен өзімді бұрынғыдай қадағалаймын,мүлдем олай санамаймын,өте сирек,Жоқ,Жоқ,Жоқ,😘
118694242911,457631337,09/18/2024 11:36:53 AM,09/18/2024 11:39:42 AM,164.0.246.136,,,,,Русский,35,Мужчина,Алюминий Казахстана (ПАЗ),,,,Специалист,"время от времени, иногда","определенно это так, и страх очень сильный",время от времени,лишь изредка это так,иногда,совсем не испытываю,совсем не бывает,лишь в очень малой степени это так,совсем не способен,практически все время,совсем нет,"я слежу за собой так же, как и раньше","значительно меньше, чем раньше",иногда,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694239765,457631337,09/18/2024 11:29:07 AM,09/18/2024 11:35:10 AM,89.35.252.71,,,,,Казахский,,,,,,,,,,,,,,,,,,,,,,,,,,57,Еркек,Казхром (Актюбинский завод ферросплавов),,,,Жұмысшы,мүлдем сезбеймін,мүлдем сезінбеймін,кейде  ғана,дәл осылай,кейде,мүлдем сезінбеймін,мүлдем болмайды,бұл мүлдем олай емес,мүлдем қабілетім жоқ,кейде,мүлдем олай емес,дәл осылай,"иә, бірақ бұрынғыдай емес",арасында,Жоқ,Жоқ,Жоқ,😘
118694240530,457631337,09/18/2024 11:31:11 AM,09/18/2024 11:35:07 AM,185.234.61.124,,,,,Русский,59,Женщина,ССГПО,,,,Рабочий,часто,"да, это так, но страх не очень сильный",время от времени,лишь изредка это так,иногда,лишь в очень малой степени это так,совсем не бывает,лишь в очень малой степени это так,"определенно, это так",совсем не чувствую,практически все время,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",иногда,Нет,Нет,Нет,Не знаю ,,,,,,,,,,,,,,,,,,,,,,,,,
